userId,productId,rating,comment
65352935b16997995dfd921e,6537e64fef368ff0c28521ad,4,"Good commuter Riding is excellent, Look and performance are awesome, Mileage is 45kpml anywhere, and Good torque is used fully for overtake feeling on highways."
65352935b16997995dfd921e,653e69298ebea0efba9222e3,1,Negatives: Disappointed with the parts which was used in it.
653e6b378ebea0efba92241b,6537cfddab65f18bcdc0de70,3,"My experience of Panasonic air conditioner was very good indeed.For almost 7 years and no trouble.However, after sales service experience was hopeless by all means."
653e6b378ebea0efba92241b,6537e6a9ef368ff0c28521ba,4,"The iPhone 14 is a very good phone for the money, offering improved cameras, a faster A15 Bionic chip and fun Action mode for video capture. But at this price, we�d like to see a telephoto zoom and 120Hz display. Some may want to get the iPhone 14 Plus instead for its larger screen and bigger battery."
653e714e8ebea0efba922549,653e71e28ebea0efba92254e,4,"Very light weight
Food cooks in minutes
Less time consuming compared to microvave
Food taste remains the same
Best part no oil required for cooking"
65352935b16997995dfd921e,653e7b0959a8b6c4731e652d,5,Chumma meri jaan
653f6a03acb96e6636718ba8,6537cfddab65f18bcdc0de70,4,Value for money
653f6a03acb96e6636718ba8,6537d08fab65f18bcdc0de73,1,"Laptop box genuine HP seal was broken and replaced with normal transparent tape.
Upon receiving the package, I noticed that the genuine seal on the laptop box was broken."
653f6a03acb96e6636718ba8,6537e64fef368ff0c28521ad,3,"The Yamaha FZS-FI V3 is a streetfighter that exudes a bold and aggressive spirit on Indian roads. With its muscular design and powerful engine, it commands attention wherever it goes."
653f6a03acb96e6636718ba8,6537e6a9ef368ff0c28521ba,5,iPhone 14 I like. Initially I want to buy iPhone 14 plus. Price difference is 10k. But iPhone 14 is best. Even has smaller screen than iPhone 14 plus but it�s ok. 6.1 inch screen is very fit in hands. iPhone 14 is best who are switching from android to iPhone.
653f6a03acb96e6636718ba8,653e69298ebea0efba9222e3,4,"his car is an excellent choice, offering both safety and a robust set of features. Its acceleration is impressive, thanks to its powerful engine. Considering its price range, it's undoubtedly the best car available."
653e714e8ebea0efba922549,6537d08fab65f18bcdc0de73,2,"DON'T BUY Worst Sound Quality , Touch pad issue and many more"
653e714e8ebea0efba922549,6537cfddab65f18bcdc0de70,3,"Compresser is too big.
Swing door is not closing when the air conditioner is off.
But the cooling is super."
653e714e8ebea0efba922549,653e73e48ebea0efba9225aa,5,"Product quality is good . It's is also a very familiar to use .
"
653e714e8ebea0efba922549,653e6caa8ebea0efba922420,3,Phone was good satisfied.... but there is no red cable in box.. which is usp of OnePlus segments and no back silicon cover... over all it's good to invest
65352935b16997995dfd921e,6537cfddab65f18bcdc0de70,2,"Cooling is not good. Complaint done 2 times in 2 months. I will not recommend to buy it.
Electricity consumption is more than what is mentioned by Voltas"
65352935b16997995dfd921e,6537d08fab65f18bcdc0de73,4,aptop looks stylish and looks premium however only time will tell how the built quality is. Serves my work related purpose. Performace is good as the clock speed of processor is 3 Ghz (not 4.1 which is maximum extent of clocking purformance of the processor.
65352935b16997995dfd921e,6537e6a9ef368ff0c28521ba,3,No fingerprint option
65352935b16997995dfd921e,653e6caa8ebea0efba922420,3,Good mobile phone camera is so far better & performance smoothie but display touch not well ...
65352935b16997995dfd921e,653e71e28ebea0efba92254e,5,Amazing product. Just required 1/4 teaspoon of oil to cook a whole chicken. Dont be in doubt just go for it.
65352935b16997995dfd921e,653e73e48ebea0efba9225aa,4,"It has been three months the product is performed very well without much challenges. The rating is dropped in the service which needs to be improved.
4 people found this helpful"
65352935b16997995dfd921e,653f7463acb96e6636719045,5,It is good and engaging.
65352935b16997995dfd921e,653f71d7acb96e6636718f5a,3,"Quality is good, easy to install. Product image is quite misleading as the table is not as lengthy as shown."
65352935b16997995dfd921e,6540bc9f2ba8f7fe8af6cfbb,4,"Awesome battery backup amazing camera, an all-day batter backup improved and brilliant IOs 16.1 oled display dolby speakers, and lot more, just close your eyes and go for it"
